,Q,A
58,벌써 2달이 되었습니다,생각보다 시간이 빨리 가네요.
59,결혼 삼개월 이혼이네.,헤어질 거면 빨리 하는게 낫지요.
60,하이고 숨막힌다,자신을 옥죄지 마세요.
61,미워한다,예뻐해 주세요.
62,이번엔 또 뭐 해 먹지,냉장고 파먹기 해보세요.
63,일하면서 애키우기 힘들다,슈퍼우먼이 되려고 하지 마세요.
64,말조심해야지,생각하고 말하는 연습을 해보세요.
65,소개팅이 왜 안 들어올까,친구한테 부탁해보세요.
66,꼬시는 방법,그 사람이 좋아하는 걸 알아보세요.
67,뭣이 중한지 모르겠어,스스로의 우선순위를 정해보세요.
68,제2외국어 뭐 선택할까,요즘은 잘 안 배우는 언어도 좋은 거 같아요.
69,"새사람을 만날 듯, 전 여친에게 미안해",미안해하지 않아도 돼요. 새사람에게 충실하세요.
70,왜 내가 해야 하지?,그 이유를 찾는 과정이 되겠네요.
71,전세비 올려달래 어떡하지,사정을 잘 설명해보세요.
72,썸남 태도가 맘에 안들어,고칠 수 있는지 생각해보세요.
73,오늘 햇볕 좋다,광합성 추천합니다.
74,집안일이 너무 많아,하나씩 하세요.
75,썸타는 사람이 많은 거 같은데,어장은 포기하는 게 깔끔합니다.
76,썸 타는 사이가 이렇게 편해도 되나?,너무 편한 거 같다고 말해보세요.
77,마음이 착잡하다,너무 많이 생각하지 말고 마음 가는 대로 해보세요.
78,좋아하는 사람에 대한 생각 비우는 방법 좀 알려줘요.,다른 것에 관심을 돌리는 게 좋아요.
79,인생 허무해,뜻대로 되는게 많지 않죠.
80,인턴 할까,경험은 뭐든 도움이 될 거예요.
81,다른 사람들은 잘하는것 같아서 초초해,제자리여도 괜찮아요
82,여자친구 보고만 있어도 좋아,애들아~ 여기 깨 쏟아진다.
83,마음 맞는 사람이 있을까?,서로에게 맞춰갈 수 있을 거예요.
84,계속 사랑하고 싶다,예쁜 사랑하세요!
85,남자친구가 너무 국밥류만 좋아해.,다양하게 먹자고 해보세요.
86,지금 가장 힘든 거는,자신일 것입니다.
87,친구같은 연애 하고 싶어,유머코드가 맞는 사람을 찾아보세요.
88,둘만의 기념일 너무 힘드네,둘만의 날이었으니까요.
89,잠겨 죽어도 좋으니 너는 물처럼 내게 밀려오라.,나도 모르게 내 맘 속 심어진 감정의 씨앗.
90,두달이 되가네.,생각보다 정신없이 지나가네요.
91,편의점 간식 먹어야지,간단하고 좋죠.
92,단체생활 해야 되는거 싫다,점점 적응 될 거예요.
93,자주 가는 카페에 잘생긴 알바생이 있는데 어떻게 고백하면 좋을까?,쪽지를 남겨서 마음을 전해보세요.
94,헤어진지 이제 5개월.,새로운 나날을 보내는 것도 5개월이 되었네요.
95,새해 복마니 받아,새해 복 많이 받으세요.
96,썸 타는 법 좀,일단 연락처를 주고 받고 부담스럽지 않는 선에서 친해지는게 좋아요.
97,왜 이렇게 무기력하죠,이별은 사람을 무기력하게 해요.
98,내가 말하면 왜 비난만 할까,성장을 위한 비판의 말로 받아들여보세요.
99,대외활동하다 만났어,꿩 먹고 알 먹고네요.
100,오래 살고 싶어,스트레스 받지 마세요.
101,퇴근하고 만나자고 말해볼까,용기내세요.
102,헤어진지 2주만에 만났어,많이 놀랐겠어요.
103,갑자기 밀려오는 우울감,좋아하는 것을 해보세요.
104,짝남한테 괜히 만나자고 했나봐.,그래도 후회는 덜할 거예요.
105,시간이 약이긴 하네,건강하고 행복하게 사세요.
106,동물 좋아하는 사람 어때?,동물 좋아하는 사람치고 나쁜 사람 없어요.
107,지하철에서 괜찮은 사람 봤는데 말 시켜 볼까,용기가 필요한 순간이네요.
108,아직도 기억 속에 생생한데,사랑은 희미해져 가네요.
109,이제 자리 잡아가는데,얼마 남지 않았어요.
110,스터디 카페 좋다,공부하러 왔나봐요.
111,멍청한게 탈이지,다음에는 다를거예요.
112,잠이 안 와,양을 세어 보아요.
113,이것도 제 미련이겠죠?,고민한다면 미련일 수 있어요.
114,성덕 되고 싶다,당신이 잘돼야 성덕이 될수있겠죠.
115,학교 짝이랑 썸 타는데,짝이라 더 좋겠네요.
116,이별할 때 지켜야할 매너,잠수이별하지 않고 상처주지 않으며 말을 아끼는게 필요해요.
117,첫사랑이 떠올라,기억나면 기억나는대로 마음가는대로 그냥 놔두는게 좋은거 같아요.
118,냉장고에 먹을 게 없네,장 보러 가봅시다.
119,아 혼자있는게 너무 무섭네,제가 있어드릴게요.
120,젊게 살고 싶다.,마음이라도 어리게 사세요.
121,시간이 안 가,다른 생각을 해보세요.
122,왜 이럴까,그럴 수도 있어요.
123,사랑에 빠진 거 같아,행복해 보여요.
124,남의 차 긁었어 내 돈,속 쓰리겠어요.
125,오래 만나고싶은데,좋아하면 오래 만날 수 있어요.
126,되게 건조하네,눈을 깜빡거려 보세요.
127,집 다와서 사귀던 남자애 만났어,남이니 신경쓰지 마세요.
